gnd_id,preferred_name,variant_names,date_of_birth,date_of_death,professions,places_of_birth
100944175,"Guido, de Monte Rocherii",de Monterocherio Guido|de Monte Rochen Guido|von Montrocher Guido|de Monte Rotherii Guido|de Montrocher Guy|Guido de Monte Rocherii|Guido de Monte Rochen|de Monte Rocherii Guido,,,,
100945260,"Haimo, von Auxerre",Altissiodorensis Haimo|Haimo von Auxerre|Monachus Haimo|de Auxerre Aimone|of Auxerre Haimo|d' Auxerre Haimo|de Saint-Germain d'Auxerre Haimo|Avtissiodorensis Haymonis|de Auxerre Haimo|d'Auxerre Aimon|Altissiodorensis Haymo|d'Auxerre Haimon|v. Auxerre Haimo v. Auxerre|Autissiodorensis Haimo|of Auxerre Aimo|d'Auxerre Haymon|Autissiodorensis Haymon|von Auxerre Haimo,,0855,Exeget|Theologe,
100945538,"Petrus, Helias",Hélie Pierre|Heliae Petrus|Petrus Helie|Helie Petrus|Elias Petrus|Petrus Helias|Helias Petrus,,,Linguist,
100945872,"Heinrich, von Settimello",der Arme Heinrich|Pauper Henricus|da Settimello Enrico|da Settimello Arrighetto|le Pauvre Henri|Samariensis Henricus|Henricus aus Settimello|Samariensis Septimolensis Henricus|Septimellensis Henricus|Arrighettus|de Septime Henricus|Septimolensis Henricus|Septimelensis Henricus|Sangelsinus Henricus|aus Settimello Henricus|da Settimello Arrigo|de Settimello Herigetus|Florentinus Henricus|von Settimello Heinrich,,,Kanzler|Schriftsteller,Calenzano-Settimello
10094647X,"Hugo, de Novo Castro",de Newcastle Hugues|de Novocastro Hugo|Skotist Hugo|Hugo de Novo Castro|de Neufchateau Hugo|de Castro Novo Hugo|de Novo Castro Hugo,,,,
100946488,"Hugo, de Prato Florido",de Prato de Vinacensibus Hugo|Hugo de Pratoflorido|Hugo De Prato Florido|Pratensis Hugo|de Vinacensibus Hugo|de Vinac Hugo|von der Blumenwiese Hugo|Ugo di Vinac|Hugo Vinac|Ugo Vinac|Hugo de Prato Florido|de Prato Ugo|Prato Ugo de|de Prato Florido Pseudo-Hugo|Prato Hugo de|de Pratoflorido Hugo|Hugo de Vinac|de Prato Hugo|de Prato Florido Hugo,1262,1322,Prediger|Mönch,Prato
100948391,"Johannes, Ianuensis",Balbi Johannes|de Balbis Johannes|Johannes Balbis|de Genova Johannes|Johannes de Balbis|Johannes Januensis de Balbis|Balbus de Ianua Johannes|de Balbis Ianuensis Johannes|Joannes Januensis de Balbis|de Janua Johannes|von Genua Johannes|Balbi von Genua Johannes|Genuensis Johannes|de Genua Johannes|da Genova Giovanni|Johannes Balbus|Balbi Giovanni|Balbus Johannes|de Gênes Jean|Johannes Ianuensis de Balbis|de Ianua Johannes|de Ianua Giovanni|of Genoa John|Giovanni Balbi|de Balbi Giovanni|Ianuensis Johannes,,1298,Theologe,
100948545,"Johannes, Calderinus",Calderino Giovanni|Giovanni Calderini|Johannes Caldrini|Giovanni Calderino|Calderini Johannes|Johannes Calderinus|Calderinus Johannes,1300,1365,,
100950744,"Iordanus, de Quedlinburgo",de Quedlinburgo Jordanus|van Quedlinburg Jordanus|Quedlinburgensis Iordanus|de Quedlinburg Jordanus|Saxo Quedlimburgensis Jordanus|von Sachsen Jordan|Eremita Jordanus|Jordanus de Quedlinburgo|Frater ordinis Sancti Augustini Jordanus|Quedlinburgensis Jordanus|Jordan von Quedlinburg|Ordinis Eremitarum Sancti Augustini Iordanes|de Quedlinburg Giordano|of Saxony Jordanus|Ordinis Eremitarum Sancti Augustini Jordanes|von Quedlinburg Jordanus|de Saxe Jourdain|le Teutonique Jordan|of Saxony Jordan|von Sachsen Jordanus|de Saxonia Iordanus|Eremita Iordanus|von Quedlinburg Jordan|of Quedlinburg Jordan|Iordanus de Quedlinburgo|Saxo Quedlimburgensis Iordanus|de Quedlinburgo Iordanus,1300,1380,Katholischer Theologe|Schriftsteller|Prediger,Quedlinburg
100951996,"Leonardus, de Utino",Leonardo di Matteo|Leonardus de Utino|von Udine Leonhard|Leonardo Mattei|Mattei Leonhard|Matthaei Leonardus|Leonardus Matthaei|Mattei Leonardo|Uticensis Leonardus|Matthaei de Utino Leonardus|di Matteo Leonardo|d'Udine Léonard|de Utino Leonardus,,1470,Prediger|Mönch,Udine
100957935,"Petrus, von Rosenheim",Vix Petrus|de Rosenhaim Petrus|de Rosenhaym Petrus|Petrus von Rosenhaym|de Rosenheim Pierre|Melicensis Petrus|Petrus Wiechs|Petrus Vix|de Rosenheim Petrus|Petrus de Rosenhaim|di Rosenheim Pietro|Petrus von Rosenheim|Petrus de Rosenheim|aus Rosenheim Petrus|von Rosenheim Petrus Wiechs (Vix)|von Melk Petrus|Peter von Rosenhaim|von Rosenheim Peter|Wiechs Petrus|von Rosenhaym Petrus|von Rosenheim Petrus,1380,1433,Theologe|Prior,Rosenheim
100958826,"Radulfus, Cantuariensis",de Turbine Radulfus|of Canterbury Radulfus|d'Escures Rodolphe|de Saint-Martin de Séez Rodolphe|Roffensis Radulphus|de Turbine Radulph|of Escures Ralph|of Rochester Radulph|de Séez Radulphus|Cantuariensis Rudolfus|Rossensis Radulphus|de Rochester Rodolphe|de Cantorbéry Rodolphe|Cantuariensis Rodulphus|of Canterbury Ralf|de Turbine Rodolphe|Roffensis Radulfus|d'Escures Radulfus|Roffensis de Turbine Radulfus|d'Escures Ralph|d'Escures Ralf|de Turbine Ralph|de Cantorbury Rodolphe|Cantuariensis Radulphus|Cantuariensis Radulfus,,1122-10-20,Erzbischof|Abt|Bischof,
10096091X,"Simon, Fidati",Simon de Cassia|da Cascia Simon|Simon Fidati|Simon aus Cascia|de Cassia OESA Simon Fidati|Simon Fidati von Cascia|Simone Fidati da Cascia|Simon Fidatus|de Cassia Simon|Fidati Simone|Fidati von Cascia Simon|Cassianus Simon|Simon Fidato|Simon Fidati de Cassia|Simon Fidati de Cassia OESA|de Cassia Simon Fidati|von Cascia Simon|Simone Fidati da Cascia|Fidati Simon,,1348,,
100963757,"Vegius, Mapheus",Mafeo Vegeo|Mappheus Vegius|Vegius Mapheus|de Lodi Mapheus|Vegius Maphaeus|Maphaeus Vergius|Mapheus|Maffeo Vegeo|Maffaeus Vegius|Mapphaeus Veggius|Maphaeus Vegius|Maffeus Vegius|Mappheus Veggius|Laudensis Maffei|Mafeus Vegius|Maphaeus Veggius|Laudensis Mapheus|Mapheus Vergius|Mapheo|Vegio Maffeo|Mapheo Veggio|Vegius de Lodi Maphaeus|Maffeus Veggius|de Lodi Maphaeus|Maffeo Vegi|Vegio de Lodi Maffeo|Maffeo Vegio|Vegius de Lodi Mapheus|Mapphaeus Vegius|Maffeo di Lodi|Mapheus Veggius|Laudensis Maphaeus|Maffaeus Veggius|Mapheus Vegius,1407,1458,Humanist|Pädagoge|Schriftsteller,Lodi
100965083,"Johannes, de Deo","di Dio Giovanni|de Dieu Jean|de Dios Juan|Bononiensis Johannes|de Deo, Hispanus Johannes|de Deo Ioannes|Ictus Johannes|Yspanus Johannes|Johannes de Deo|de Deus João|de Deo Johannes",,,Katholischer Theologe,
100965253,"Christophorus, Barzizius",Christophorus Barsisius|Christophorus Barzizius|Barzizza Cristoforo|Cristoforo Barzizza|Christoph Barziz|Barzizius Christophorus,,,,
100965369,"Bartholomaeus, de Rinonico","de Rinonico Bartholomäus|Bartholomaeus Rinonico|von Pisa Bartholomäus|von Pisa Bartholomaeus|von Rivano Bartholomaeus|de Rinonichis Bartholomaeus|de Pisis Bartholomeus|de Pisis, Franziskaner Bartholomaeus|Pisanus, Franziskaner Bartholomaeus|von Rivano, Franziskaner Bartholomaeus|Bartholomaeus Rinonichis|von Pisa, Franziskaner Bartholomaeus|da Rinonico Bartolomeo|Bartolommeo, Franziskaner Pisanus|da Pisa Bartolomeo|de Pisis Bartholomaeus|Pisanus Bartholomaeus|da Rinonico, Franziskaner Bartholomaeus|de Albizis, Franziskaner Bartholomaeus|de Rinonichis Bartolomeo|de Pise Barthélemy|de Pise Barthelemi|de Arnonico Bartholomaeus|aus Pisa Bartholomaeus|Bartholomaeus Pisanus|de Rinonico Bartholomaeus",1338,1401,Katholischer Theologe|Mönch|Chronist,
10096639X,"Guigo II., Saint-Pierre-de-Chartreuse, Prior","Carthusianus Guigo|Carthusianus Hugo|Cartusianus Guigo|der Jüngere Guigo|Prior Carthusiae Guido|Carthusiensis Guigo|Kartäuserorden, Generalminister Guigo II.|Carthusiensis Guido|le Chartreux Guigues|Guigo Cartusianus|Carthusiensis Guido II.|Carthusiensis Guigo II.|Cartusius Guigo|Guigo II.|Saint-Pierre-de-Chartreuse, Prior Guigo II.",,1193-09-25,Prior|Generaloberer|Mönch,
100966446,"Schlitpacher, Johannes",Mellicensis Johannes Schlitpacher|von Weilheim Johannes|Slitpacher Johannes|Schlitpacher Johann|Johannes Slitpacher|Schlippacher Johann|Schlittpacher de Weilheim Johannes|di Weilheim Giovanni|de Weilheim Johannes|Johannes Schlittpacher|Schlitpacher Johannes|Schlitpacher Jean|von Melk Johannes Schlitpacher|Johann Schlitpacher|Johannes Schlitpacher Messlicensis|Johannes Schlitpacher,1403,1482,Mönch,
100968880,"Antonius, de Rampegollis",de Rampegolis Antonius|Antonius de Rampigollis|Antonio da Genova|Janvensis Antonius|Antonius de Rampengolis|de Janua Antonius|Antonius de Rampelogis|Ianuensis Antonius|de Rampegolis Anthonius|Antonius de Rampigolis|Rampegolus Antonius|Antonius Ampigollus|Antonius de Ianua|de Ianua Antonius|de Rampelogis Antonius|Genuensis Antonius|de Rampigollis Antonius|Anthonius de Rampegolis|da Genova Antonio|de Gênes Antoine|Rampelogi Antonio|Antonius Rampigollus|Antonio Rampazoli|Antonius de Rampegollis|Antoine de Gênes|Antonio Rampelogi|Antonius de Janua|Rampazoli Antonio|Ampigolius Antonius|Rampegolo Antonio|Antonio Rampegolo|de Rampigolis Antonius|Antonius Rampelogus|de Rampegolo Antonio|Ampigollus Antonius|A. Rampegolus|de Rampengolis Antonius|Antonius Rampegolus|Rampelogus Antonius|de Rampegollis Antonius,1360,1423,,
1013197267,"Battista, Malatesta",Monsfeltria Baptista|dei Malatesta Battista|Battista dei Malatesta|Battista Malatesta|Baptista de Malatesta|Battistina Montefeltro|da Montefeltro Battista|Malatesta Baptista|Battista da Montefeltro|Montefeltro Battistina|Malatesti Battista|di Montefeltro Battista|Battista Malatesti|Battista di Montefeltro|de Montefeltro Baptista|Malatesta Battista,1384,1448,Ordensschwester|Schriftstellerin,
1015957382,"Emericus, de Kemel",von Kemel Emerich|Emericus de Kemel|Emmerich von Kemel|von Kemel Emmerich|de Kemel Emericus,1425,1484,Geistlicher,
102421382,"Hugo, Magister",Magister Hugo|Magister Hugo|Magister Hugo,,,,
102423288,"Arnoldus, Royardus",Romiardus Arnoldus|Arnoldus Royardus|Petragoricensis Arnoldus|Royardus Arnoldus,,1330,Erzbischof,
102425175,"Bartholomaeus, de Chaimis",Bartolomeo Caimi|Bartolomeo de Chaimis|Caimo Barthélemy|Caimus Bartholomaeus|Barthélemy Caimo|de Chaymis Bartholomaeus|Bartolommeo Caimo|Bartolomeo Caimo|Bartholomaeus de Chaimis|de Milan Caimo|Caimus Bartholomaius|Caimo Bartolommeo|de Chaimis Bartholomaeus,,1496,Katholischer Theologe,
102425558,"Bonjohannes, von Messina",Pseudo-Cyrillus|Messanensis Bonjohannes|von Messana Boniohannes|Bonjohannes de Messina|Pseudo- Cyrillus|de Messina Bonjohannes|de Messana Boniohannes|da Messina Bongiovanni|von Messina Bonjohannes,,,,
102426910,"Cyrillus, Quidenon",Cyrillus Quidenon|Episcopus Cyrillus|Sanctus Cyrillus|Hierosolymitanus Cyrillus|von Quidone Cyrillus|Alexandrinus Pseudo-Cyrillus|Hierosolymitanus Pseudo-Cyrillus|von Alexandrien Cyrillus|Bischof Cyrillus|von Quidonone Cyrillus|Quidenon Cyrillus,,,,
102499810,"Hermannus, Gigas",Hermannus Gygas|Hermannus Gigas|Hermann Gygas|de Gênes Hermann|Genuensis Hermannus|Ianuensis Hermannus|Minorita Hermannus|Ianuensis Hermann|Gygas Hermannus|Hermann Gigas|Minorita Hermann|Minorita Martinus|Gigas Hermann|Gigas Hermannus,1292,1349,,
102507171,"Lucas, de Bitonto",de Bitonto Luc|Apulus Lucas|Lucas de Bitonto|Bituntinus Lucas|de Prato Lucas|de Botonto Lucas|de Villa Dei Lucas|de Apulia Lucas|de Bitonto Lucas,,,,
102516081,"Paulus, Hungarus",le Hongrois Paul|Magyarszentpál|Bononiensis Paulus|von Sankt Nikolaus Paulus|Canonista Bolognese Paolo|Paolo Ungaro|Presbyter Sancti Nicolai Paulus|von Ungarn Paulus|Ungarus Paulus|von Sankt Nicolai Paulus|Húngaro Paulo|Ungaro Paolo|Magyar Szent Pál|Hungarus Paulus,,1242,Kanonist|Katholischer Theologe,
10252985X,"Johannes, de Hesdinio",de Hisdino Johannes|Gallus Calumniator de Pétrarque Jean|de Hesdino Johannes|Johannes de Hesdinio|de Hesdinio Iohannes|de Hesdin Jean|Hospitalier Jean|de Hisdinio Joannes|de Isdinio Johannes|d'Hesdin Jean|de Hisdino Jean|de Hesdinio Johannes,,,Ritter <Orden>|Theologe,
102571155,Elsäßischer Anonymus,Elsäßischer Anonymus|Elsäßischer Anonymus,,,,
102623392,"Bonaguida, Aretinus",d'Arezzo Buonaguida|Bonaguida Aretinus|d'Arezzo Bonaguida|de Aretio Bonaguida|Buonaguida d' Arezzo|Aretinus Bonaguida,,,,
